SOC,Description,"Employed in Industry (2025)","Employed in Industry (2026)","Employed in Industry (2030)","Change (2026 - 2030)","% Change (2026 - 2030)","% of Total Jobs in Industry (2025)","Median Hourly Earnings","Typical Entry Level Education","Work Experience Required","Typical On-The-Job Training"
39-9031,"Exercise Trainers and Group Fitness Instructors",616.193268035,643.271136458,712.681893393,69.4107569348,0.107902800236,0.11232739273,23.3152954454,"High school diploma or equivalent",None,"Short-term on-the-job training"
39-3091,"Amusement and Recreation Attendants",387.542276393,398.744794278,422.400842541,23.656048263,0.0593262873959,0.0706460387315,16.776,"No formal educational credential",None,"Short-term on-the-job training"
37-3011,"Landscaping and Groundskeeping Workers",288.579589795,295.502337127,310.375279386,14.8729422585,0.0503310478118,0.0526058861694,21.1732620573,"No formal educational credential",None,"Short-term on-the-job training"
39-3011,"Gambling Dealers",273.009636067,264.006373154,231.386985682,-32.6193874717,-0.123555303162,0.049767600849,23.5338720898,"High school diploma or equivalent",None,"Short-term on-the-job training"
35-3031,"Waiters and Waitresses",237.639971485,242.76649927,253.332842198,10.5663429281,0.0435247159712,0.0433199773349,21.096,"No formal educational credential",None,"Short-term on-the-job training"
27-2022,"Coaches and Scouts",222.486899549,231.091833383,252.817095422,21.725262039,0.0940113794632,0.0405576864261,20.8787024107,"Bachelor's degree",None,None
43-4171,"Receptionists and Information Clerks",153.790569321,159.438709477,172.592948012,13.1542385354,0.0825034182637,0.0280348627198,20.3347398054,"High school diploma or equivalent",None,"Short-term on-the-job training"
35-3011,Bartenders,143.790298439,146.385967729,151.503639867,5.11767213821,0.0349601277882,0.0262118886415,21.411,"No formal educational credential",None,"Short-term on-the-job training"
35-2014,"Cooks, Restaurant",141.873993143,145.145014213,152.689627725,7.54461351265,0.0519798324013,0.0258625606162,20.0648388803,"No formal educational credential","Less than 5 years","Moderate-term on-the-job training"
41-2031,"Retail Salespersons",123.66778848,126.565907667,132.924321599,6.35841393263,0.0502379673156,0.0225437066018,16.9612696731,"No formal educational credential",None,"Short-term on-the-job training"
11-1021,"General and Operations Managers",114.871222903,118.843566922,128.342618402,9.49905147996,0.0799290338211,0.0209401589367,61.6285042673,"Bachelor's degree","5 years or more",None
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",107.635760209,110.640225313,117.626744069,6.98651875636,0.0631462809896,0.0196211885718,20.3338841552,"No formal educational credential",None,"Short-term on-the-job training"
25-3021,"Self-Enrichment Teachers",105.368364737,108.646058866,116.593735562,7.94767669557,0.0731520018169,0.019207859451,21.6561280653,"High school diploma or equivalent","Less than 5 years",None
43-4051,"Customer Service Representatives",103.335069937,105.860147492,110.581208923,4.72106143104,0.0445971552362,0.01883720512,22.1764055494,"High school diploma or equivalent",None,"Short-term on-the-job training"
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",102.245970724,106.112880665,115.83464374,9.72176307479,0.0916171817583,0.0186386705346,17.2751771841,"No formal educational credential",None,"Short-term on-the-job training"
49-9071,"Maintenance and Repair Workers, General",99.1645745285,101.831766959,107.872206964,6.04044000438,0.0593178355315,0.0180769552115,26.6236216066,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
35-3023,"Fast Food and Counter Workers",91.3487380912,93.3449307414,97.7327130132,4.38778227176,0.0470061120289,0.0166521870835,16.578,"No formal educational credential",None,"Short-term on-the-job training"
41-2011,Cashiers,81.1956910615,81.632778245,80.6804916951,-0.952286549901,-0.0116654923472,0.014801363064,17.3828763701,"No formal educational credential",None,"Short-term on-the-job training"
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",73.3220749821,75.6688677466,81.243774223,5.57490647636,0.0736750349566,0.0133660621424,25.9756738028,"High school diploma or equivalent","Less than 5 years",None
41-2021,"Counter and Rental Clerks",71.092354651,72.5879499632,75.9709149146,3.38296495135,0.046605048814,0.0129596009161,21.3707823725,"No formal educational credential",None,"Short-term on-the-job training"
39-7018,"Tour and Travel Guides",64.6412059221,65.8702424937,68.4293751944,2.55913270069,0.038851120078,0.011783605081,22.5991727746,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
33-9032,"Security Guards",55.6482667294,55.7527878973,54.8017152668,-0.951072630472,-0.017058745694,0.0101442599845,21.1356930588,"High school diploma or equivalent",None,"Short-term on-the-job training"
35-9021,Dishwashers,52.2192944085,53.2680969989,55.4617764621,2.19367946323,0.0411818628189,0.00951918415107,17.082,"No formal educational credential",None,"Short-term on-the-job training"
43-9061,"Office Clerks, General",51.6135739896,52.7385220814,54.6519001399,1.91337805858,0.0362804641289,0.00940876587988,23.435994926,"High school diploma or equivalent",None,"Short-term on-the-job training"
39-9032,"Recreation Workers",47.2679073857,49.258411774,54.1550723421,4.89666056808,0.0994076014985,0.00861658358154,19.5487083976,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",46.494343904,47.0128300539,47.353030059,0.340200005186,0.00723632261227,0.0084755687839,25.317339862,"Some college, no degree",None,"Moderate-term on-the-job training"
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",46.1968909368,48.2740081544,53.3268434183,5.05283526393,0.104669892912,0.00842134534784,40.6028228432,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
39-1013,"First-Line Supervisors of Gambling Services Workers",46.0633896731,44.6323695225,39.4327982221,-5.19957130041,-0.116497765098,0.00839700907276,36.1877202147,"High school diploma or equivalent","Less than 5 years",None
35-1012,"First-Line Supervisors of Food Preparation and Serving Workers",44.7069538353,45.5898436478,47.3600980081,1.77025436037,0.0388300160458,0.0081497410337,24.111,"High school diploma or equivalent","Less than 5 years",None
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",44.4762192391,45.6389057962,48.1627455438,2.52383974763,0.0553001809224,0.00810767985428,18.054,"No formal educational credential",None,"Short-term on-the-job training"
35-1011,"Chefs and Head Cooks",40.3398489899,41.3510643645,43.7413426624,2.39027829794,0.057804516877,0.00735365070538,32.6343082204,"High school diploma or equivalent","5 years or more",None
35-9011,"Dining Room and Cafeteria Attendants and Bartender Helpers",37.6457366446,38.484984744,40.1710544039,1.68606965994,0.0438111037632,0.00686253431192,18.252,"No formal educational credential",None,"Short-term on-the-job training"
43-1011,"First-Line Supervisors of Office and Administrative Support Workers",37.0853362899,37.8687841763,39.3595228939,1.49073871759,0.0393658985895,0.00676037754717,34.4107740894,"High school diploma or equivalent","Less than 5 years",None
13-1161,"Market Research Analysts and Marketing Specialists",34.0887797239,34.9476266913,36.7952920372,1.84766534587,0.0528695514059,0.00621412784972,44.3914768596,"Bachelor's degree",None,None
13-2011,"Accountants and Auditors",32.6934537747,33.3834100292,34.8212451677,1.43783513845,0.0430703495297,0.00595977043622,43.1089648075,"Bachelor's degree",None,None
13-1199,"Business Operations Specialists, All Other",32.6058249482,33.4588090237,35.3273953204,1.86858629671,0.0558473643037,0.005943796361,44.0340204732,"Bachelor's degree",None,None
13-1121,"Meeting, Convention, and Event Planners",31.8107682169,32.4594851182,33.8625555817,1.40307046348,0.0432252840233,0.00579886350579,30.033,"Bachelor's degree",None,None
35-3041,"Food Servers, Nonrestaurant",31.7372825633,32.3574770686,33.6537361357,1.29625906712,0.0400605728429,0.00578546762451,17.3608537587,"No formal educational credential",None,"Short-term on-the-job training"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",30.6064653297,31.2465442906,32.6365812025,1.39003691191,0.0444861005743,0.00557932815805,21.1321713901,"No formal educational credential",None,"Short-term on-the-job training"
35-2021,"Food Preparation Workers",29.4503085813,30.0428459658,31.260124053,1.21727808712,0.0405180683782,0.00536856948887,18.1707959321,"No formal educational credential",None,"Short-term on-the-job training"
39-2021,"Animal Caretakers",29.1671784004,30.1455647392,32.3892351383,2.24367039917,0.0744278774867,0.0053169569889,17.073,"High school diploma or equivalent",None,"Short-term on-the-job training"
11-9072,"Entertainment and Recreation Managers, Except Gambling",29.1601081283,30.2199276471,32.7734661245,2.55353847746,0.0844984973916,0.00531566813153,42.291,"Bachelor's degree","Less than 5 years",None
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",29.1324238178,29.896522265,31.491352475,1.59483020998,0.053345007685,0.00531062149021,25.3919425202,"High school diploma or equivalent",None,"Short-term on-the-job training"
41-1011,"First-Line Supervisors of Retail Sales Workers",27.4108333999,27.9571440728,29.08654892,1.12940484724,0.0403977188906,0.00499678852086,26.1248104996,"High school diploma or equivalent","Less than 5 years",None
37-2012,"Maids and Housekeeping Cleaners",26.1764945988,26.5411463071,27.1103727376,0.569226430475,0.0214469421889,0.00477177785219,18.4313925007,"No formal educational credential",None,"Short-term on-the-job training"
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",25.7653426334,26.2558305929,27.2577261104,1.00189551746,0.0381589724961,0.00469682794493,16.8570195721,"No formal educational credential",None,"Short-term on-the-job training"
33-9031,"Gambling Surveillance Officers and Gambling Investigators",25.1031085947,24.4578810543,21.9893852867,-2.46849576762,-0.100928439473,0.00457610766642,20.9628601375,"High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training"
49-3051,"Motorboat Mechanics and Service Technicians",24.6996346947,25.1547383139,26.1304410564,0.975702742529,0.0387880299272,0.00450255741266,32.1324071942,"High school diploma or equivalent",None,"Long-term on-the-job training"
27-2042,"Musicians and Singers",24.0853247208,24.3501502038,24.9223052737,0.572155069899,0.0234969831853,0.00439057333027,32.2598303217,"No formal educational credential",None,"Long-term on-the-job training"
43-3041,"Gambling Cage Workers",22.6511541157,22.0103984918,19.6199920121,-2.39040647965,-0.10860350759,0.0041291348285,21.4136487762,"High school diploma or equivalent",None,"Short-term on-the-job training"
39-9011,"Childcare Workers",22.4579745395,24.3445555813,29.4307435028,5.08618792141,0.208925067636,0.00409391964643,17.1252517637,"High school diploma or equivalent",None,"Short-term on-the-job training"
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",22.3141846023,22.9935088356,24.4966302464,1.50312141078,0.0653715542733,0.00406770782364,32.6546382236,"High school diploma or equivalent","Less than 5 years",None
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",20.3035699288,20.7529670788,21.7019565637,0.948989484898,0.0457278942956,0.00370118790891,42.5591544539,"High school diploma or equivalent","Less than 5 years",None
13-1071,"Human Resources Specialists",17.3564827574,17.7196682256,18.4488760326,0.72920780699,0.0411524526139,0.00316395610959,40.3929065653,"Bachelor's degree",None,None
11-3013,"Facilities Managers",17.0486668551,17.4664890354,18.3979811094,0.93149207401,0.0533302412477,0.0031078435885,59.6326183285,"Bachelor's degree","Less than 5 years",None
31-9011,"Massage Therapists",16.1624662488,16.7007958083,18.0182924483,1.31749663998,0.078888255093,0.00294629589121,40.6381637676,"Postsecondary nondegree award",None,None
27-2011,Actors,16.1425357224,16.4617937405,17.1247482973,0.66295455679,0.0402723158388,0.00294266270633,26.1243559716,"Some college, no degree",None,"Long-term on-the-job training"
27-3031,"Public Relations Specialists",15.9145130784,16.3947679577,17.4536882569,1.05892029916,0.0645889165308,0.00290109589538,40.3948847836,"Bachelor's degree",None,None
39-1022,"First-Line Supervisors of Personal Service Workers",15.2125636004,15.8651166554,17.5193193952,1.65420273981,0.104266660986,0.00277313579132,27.2026729269,"High school diploma or equivalent","Less than 5 years",None
27-2023,"Umpires, Referees, and Other Sports Officials",14.2833001317,14.8034361225,15.975920995,1.17248487253,0.0792035621208,0.00260373805848,17.3358914914,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
13-1131,Fundraisers,13.7570209611,14.0771563904,14.7931478749,0.715991484509,0.0508619400576,0.00250780132865,33.8559877559,"Bachelor's degree",None,None
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",13.6243017705,13.3744796414,12.3293088057,-1.04517083574,-0.0781466542076,0.0024836076196,26.2895048961,"High school diploma or equivalent",None,"Short-term on-the-job training"
27-2012,"Producers and Directors",13.2834594548,13.619243084,14.4269926312,0.807749547141,0.0593094302053,0.00242147463205,35.1113474388,"Bachelor's degree","Less than 5 years",None
11-9199,"Managers, All Other",13.1598244197,13.4634230935,14.098631027,0.635207933495,0.0471802697637,0.00239893689615,77.931619307,"Bachelor's degree","Less than 5 years",None
35-2015,"Cooks, Short Order",12.6437709559,12.9183878558,13.4681762992,0.549788443401,0.0425585955105,0.00230486423565,19.9511339867,"No formal educational credential",None,"Short-term on-the-job training"
25-4013,"Museum Technicians and Conservators",11.9792508787,12.2031104116,12.7272769594,0.524166547824,0.0429535200573,0.00218372722952,25.9518056254,"Bachelor's degree",None,None
49-3053,"Outdoor Power Equipment and Other Small Engine Mechanics",10.6356987007,10.9259667024,11.5280790882,0.602112385702,0.0551083855644,0.00193880778464,25.5503224477,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-6021,"Parking Attendants",10.6243984778,10.7743402065,11.022527156,0.248186949474,0.0230350021177,0.00193674783908,18.063,"No formal educational credential",None,"Short-term on-the-job training"
11-3031,"Financial Managers",10.519738554,10.8580266053,11.7331478249,0.875121219564,0.0805967098234,0.00191766912309,79.3209756057,"Bachelor's degree","5 years or more",None
35-2012,"Cooks, Institution and Cafeteria",10.031509239,10.2683300256,10.7901771569,0.52184713126,0.0508210322377,0.00182866859541,22.9694835188,"No formal educational credential",None,"Short-term on-the-job training"
25-4012,Curators,9.59144016522,9.77863831593,10.2899554661,0.511317150201,0.0522891975019,0.00174844731705,31.4828272965,"Master's degree",None,None
11-2021,"Marketing Managers",9.51577655992,9.79291833196,10.4179659592,0.625047627242,0.0638264923749,0.00173465441156,75.408990653,"Bachelor's degree","5 years or more",None
53-6031,"Automotive and Watercraft Service Attendants",9.12224994172,9.30428419568,9.68772188643,0.383437690751,0.0412108747634,0.00166291747238,19.8512003438,"No formal educational credential",None,"Short-term on-the-job training"
43-6011,"Executive Secretaries and Executive Administrative Assistants",9.06078453028,9.23426753705,9.54473553888,0.310468001834,0.033621291628,0.00165171279072,35.241658593,"High school diploma or equivalent","Less than 5 years",None
27-2021,"Athletes and Sports Competitors",8.86354982053,9.44743854811,10.7039876746,1.25654912648,0.133004212738,0.00161575838834,77.0827480453,"No formal educational credential",None,"Long-term on-the-job training"
49-9099,"Installation, Maintenance, and Repair Workers, All Other",8.85952956109,9.22999402846,10.1119602509,0.881966222426,0.0955543654424,0.00161502552532,26.8651220387,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
53-5021,"Captains, Mates, and Pilots of Water Vessels",8.32992636885,8.41719816465,8.52054325049,0.103345085838,0.012277848735,0.00151848285137,51.0907871804,"Postsecondary nondegree award","Less than 5 years",None
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",8.18002682965,8.13764773591,7.91097736095,-0.226670374962,-0.0278545327001,0.00149115729414,36.036,"Bachelor's degree",None,"Long-term on-the-job training"
39-9099,"Personal Care and Service Workers, All Other",8.06329796449,8.3721388944,9.1386271836,0.766488289192,0.0915522662559,0.00146987850101,17.0795796957,"High school diploma or equivalent",None,"Short-term on-the-job training"
11-9051,"Food Service Managers",8.02798433121,8.23603857245,8.63880470786,0.402766135412,0.0489028957149,0.00146344109158,41.5382952013,"High school diploma or equivalent","Less than 5 years",None
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",7.94372442328,8.24195391083,9.0352191163,0.793265205464,0.0962472265734,0.00144808114485,16.911,"No formal educational credential",None,"Short-term on-the-job training"
37-1011,"First-Line Supervisors of Housekeeping and Janitorial Workers",7.89582153287,8.04437473129,8.34232253475,0.297947803462,0.0370380313467,0.00143934880865,26.9314844591,"High school diploma or equivalent","Less than 5 years",None
13-1082,"Project Management Specialists",7.79343242084,7.89520166498,8.06959743315,0.174395768169,0.0220888300982,0.00142068404453,54.4154343989,"Bachelor's degree",None,None
35-9099,"Food Preparation and Serving Related Workers, All Other",7.76559402543,7.86693988577,7.99673665038,0.12979676461,0.0164990156903,0.00141560931468,16.8426124345,"No formal educational credential",None,"Short-term on-the-job training"
11-2022,"Sales Managers",7.70090194153,7.98527305377,8.54486473877,0.559591685004,0.0700779649283,0.00140381643492,74.6685654049,"Bachelor's degree","Less than 5 years",None
33-1091,"First-Line Supervisors of Security Workers",7.5521632711,7.51081709246,7.23336379341,-0.27745329905,-0.0369404947071,0.00137670249533,28.7845530242,"High school diploma or equivalent","Less than 5 years",None
41-2012,"Gambling Change Persons and Booth Cashiers",7.48763136471,7.76213789136,8.42444822836,0.662310337006,0.0853257628602,0.00136493881473,17.1766013814,"No formal educational credential",None,"Short-term on-the-job training"
13-1151,"Training and Development Specialists",7.44481128619,7.65768701567,8.18658112819,0.52889411252,0.0690670840213,0.00135713303686,41.1552910592,"Bachelor's degree","Less than 5 years",None
27-4011,"Audio and Video Technicians",7.42123081916,7.56863985125,7.89936196072,0.33072210947,0.0436963729243,0.00135283449528,34.5837955427,"Postsecondary nondegree award",None,"Short-term on-the-job training"
27-2031,Dancers,7.22746984604,7.40255123539,7.81167908,0.409127844614,0.055268492119,0.00131751332894,33.3,"No formal educational credential",None,"Long-term on-the-job training"
49-3023,"Automotive Service Technicians and Mechanics",6.99403425779,7.29077031923,8.03697793065,0.746207611419,0.102349625451,0.001274959779,27.2353935887,"Postsecondary nondegree award",None,"Short-term on-the-job training"
25-2011,"Preschool Teachers, Except Special Education",6.82385641782,7.0644932576,7.64548260276,0.580989345163,0.0822407671687,0.00124393764024,19.296,"Associate's degree",None,None
13-1028,"Buyers and Purchasing Agents",6.7776403026,6.9665544318,7.44921929646,0.482664864665,0.0692831541604,0.00123551279045,37.3532870525,"Bachelor's degree",None,"Moderate-term on-the-job training"
39-3092,"Costume Attendants",6.64495091806,6.61014196725,7.08311083879,0.472968871544,0.0715519990173,0.00121132451483,27.1172489044,"High school diploma or equivalent",None,"Short-term on-the-job training"
47-2031,Carpenters,6.60175156428,6.73217653203,6.98369843593,0.251521903907,0.037361156932,0.00120344959793,33.4233961488,"High school diploma or equivalent",None,Apprenticeship
27-1024,"Graphic Designers",6.26924905751,6.40432572305,6.65990730268,0.255581579626,0.0399076484674,0.00114283689474,35.8957855029,"Bachelor's degree",None,None
27-2041,"Music Directors and Composers",5.97911832941,6.03443296992,6.1232530679,0.0888200979793,0.0147188805348,0.00108994824774,34.232726748,"Bachelor's degree","Less than 5 years",None
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",5.82582180256,5.90135684321,6.00416810538,0.102811262173,0.0174216311443,0.00106200344524,32.1219863549,"High school diploma or equivalent","Less than 5 years",None
43-4081,"Hotel, Motel, and Resort Desk Clerks",5.8083271208,5.88492449195,6.01536476813,0.130440276173,0.0221651571488,0.00105881429649,19.044,"High school diploma or equivalent",None,"Short-term on-the-job training"
53-3053,"Shuttle Drivers and Chauffeurs",5.80462877888,5.91280108793,6.13327757114,0.220476483214,0.0372879926003,0.00105814011661,18.882,"No formal educational credential",None,"Short-term on-the-job training"
43-5071,"Shipping, Receiving, and Inventory Clerks",5.79335656294,5.84607686554,5.86058290166,0.0145060361177,0.00248132832519,0.00105608527653,22.6206934293,"High school diploma or equivalent",None,"Short-term on-the-job training"
39-3019,"Gambling Service Workers, All Other",5.65315175711,5.82877532597,6.27471767756,0.445942351589,0.0765070407847,0.00103052699619,18.2982671804,"High school diploma or equivalent",None,"Short-term on-the-job training"
39-3099,"Entertainment Attendants and Related Workers, All Other",5.62122985191,5.74585207724,5.9858563356,0.240004258362,0.0417700029752,0.00102470787325,16.8031248328,"High school diploma or equivalent",None,"Short-term on-the-job training"
15-1232,"Computer User Support Specialists",5.60771808366,5.61590697698,5.50882573977,-0.107081237212,-0.0190674877008,0.00102224477964,32.2581553392,"Some college, no degree",None,None
53-7061,"Cleaners of Vehicles and Equipment",5.30754399965,5.40735091092,5.60249713211,0.195146221184,0.0360890617973,0.000967525304486,19.0440661798,"No formal educational credential",None,"Short-term on-the-job training"
39-6012,Concierges,5.26323615121,5.37521700642,5.60431603723,0.229099030813,0.042621354736,0.000959448317361,19.4354215423,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",5.22501048125,5.46707803903,5.99833298741,0.531254948378,0.0971734708349,0.000952480065572,20.5194482071,"High school diploma or equivalent",None,"Short-term on-the-job training"
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",5.19544171849,5.33719705759,5.66395032528,0.326753267688,0.0612218856007,0.000947089902777,36.2143358691,"High school diploma or equivalent","Less than 5 years",None
43-5061,"Production, Planning, and Expediting Clerks",4.84261827058,4.93657862816,5.09830570432,0.161727076154,0.0327609642904,0.00088277284504,30.3895599164,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
15-1252,"Software Developers",4.81029551801,4.90508932383,5.09605236746,0.190963043635,0.0389316138868,0.000876880650643,73.4116993984,"Bachelor's degree",None,None
39-2011,"Animal Trainers",4.75038699684,4.9727544796,5.49244384025,0.519689360651,0.104507343522,0.000865959778354,20.4589985046,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
41-9099,"Sales and Related Workers, All Other",4.65189723329,4.80273002686,5.12072519955,0.317995172689,0.0662113362422,0.000848005836102,30.4254913359,"High school diploma or equivalent",None,None
27-1027,"Set and Exhibit Designers",4.64693670689,4.78091803765,5.10676075172,0.325842714077,0.0681548421269,0.000847101569493,37.3873329538,"Bachelor's degree",None,None
27-1011,"Art Directors",4.63241249601,4.67995112106,4.78774793866,0.1077968176,0.0230337486036,0.00084445391522,62.3804986648,"Bachelor's degree","5 years or more",None
35-2011,"Cooks, Fast Food",4.44454170193,4.55377774245,4.78322346651,0.22944572406,0.0503857976908,0.000810206484156,16.8841806011,"No formal educational credential",None,"Short-term on-the-job training"
15-1255,"Web and Digital Interface Designers",4.43795722627,4.51609119903,4.6333468915,0.117255692472,0.0259639779854,0.000809006183825,57.2871080263,"Bachelor's degree",None,None
41-1012,"First-Line Supervisors of Non-Retail Sales Workers",4.26936764785,4.43846037264,4.84712462767,0.408664255023,0.092073426529,0.000778273573186,42.7607512384,"High school diploma or equivalent","Less than 5 years",None
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4.18521110264,4.29283173507,4.46040933614,0.167577601067,0.0390366106592,0.000762932468706,16.3426516916,"No formal educational credential",None,"Short-term on-the-job training"
39-3012,"Gambling and Sports Book Writers and Runners",4.13995000756,4.23979551687,5.02959262976,0.789797112889,0.186281887828,0.000754681711896,17.5495916363,"High school diploma or equivalent",None,"Short-term on-the-job training"
25-4011,Archivists,4.05365169924,4.11712606445,4.20222491413,0.0850988496793,0.0206694787449,0.000738950180129,31.9332992263,"Master's degree",None,None
27-4021,Photographers,4.03757002902,4.08799946485,4.17384757417,0.08584810932,0.0210000294907,0.000736018612745,21.3835772311,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
11-3121,"Human Resources Managers",4.03061879861,4.1223610722,4.31544579522,0.193084723022,0.0468383820921,0.000734751455785,82.9460615703,"Bachelor's degree","5 years or more",None
25-9031,"Instructional Coordinators",4.01697443885,4.12427241264,4.39737956337,0.273107150722,0.0662194742241,0.000732264191745,43.1740033238,"Master's degree","5 years or more",None
11-1011,"Chief Executives",4.00693188864,4.15119551154,4.49745174687,0.346256235323,0.0834112087374,0.000730433510464,137.908265227,"Bachelor's degree","5 years or more",None
33-9099,"Protective Service Workers, All Other",3.93811359985,3.96992234015,3.97344086319,0.00351852303669,0.000886295180412,0.00071788845463,18.6058145502,"High school diploma or equivalent",None,"Short-term on-the-job training"
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",3.92183150929,4.21665824797,4.89514142724,0.678483179274,0.160905423056,0.000714920352128,81.8297429972,"Bachelor's degree","Less than 5 years",None
11-3021,"Computer and Information Systems Managers",3.83694151105,3.91940441591,4.09632453177,0.176920115867,0.0451395408826,0.000699445544685,93.4130432172,"Bachelor's degree","5 years or more",None
37-3019,"Grounds Maintenance Workers, All Other",3.5233255513,3.59072921987,3.71969536185,0.128966141987,0.0359164208967,0.0006422757168,19.8183363114,"No formal educational credential",None,"Short-term on-the-job training"
39-5094,"Skincare Specialists",3.50031960165,3.62504424427,3.94332501143,0.318280767165,0.0878005193092,0.000638081905418,31.2986375318,"Postsecondary nondegree award",None,None
15-1244,"Network and Computer Systems Administrators",3.49032330439,3.53114735666,3.57473355548,0.0435861988218,0.0123433531426,0.0006362596557,48.4884478335,"Bachelor's degree",None,None
53-5011,"Sailors and Marine Oilers",3.4799170853,3.56441586023,3.79085470417,0.226438843934,0.0635276165332,0.000634362680321,30.6470863132,"No formal educational credential",None,"Moderate-term on-the-job training"
11-3012,"Administrative Services Managers",3.4545246456,3.54196090814,3.725087392,0.183126483861,0.0517020059257,0.000629733829773,60.441675713,"Bachelor's degree","Less than 5 years",None
11-2033,"Fundraising Managers",3.32146087308,3.38973790422,3.5478904106,0.158152506381,0.0466562639503,0.000605477306034,62.6400161012,"Bachelor's degree","5 years or more",None
51-6011,"Laundry and Dry-Cleaning Workers",3.27477391618,3.34434175332,3.50457433369,0.160232580362,0.0479115449858,0.000596966625352,18.8545524152,"No formal educational credential",None,"Short-term on-the-job training"
11-2032,"Public Relations Managers",3.22469057648,3.3184864139,3.51534729572,0.196860881823,0.0593224914222,0.00058783680966,76.5440325027,"Bachelor's degree","5 years or more",None
53-7065,"Stockers and Order Fillers",3.16567407647,3.19623707938,2.99663057493,-0.199606504443,-0.0624504689376,0.000577078546112,19.7230687786,"High school diploma or equivalent",None,"Short-term on-the-job training"
43-3051,"Payroll and Timekeeping Clerks",3.11251363835,3.1254261861,3.06781032909,-0.0576158570065,-0.018434560145,0.000567387798548,27.9903408257,"High school diploma or equivalent",None,"Moderate-term on-the-job training"
27-4014,"Sound Engineering Technicians",3.01856696664,3.06665795848,3.16785585104,0.101197892566,0.0329994064992,0.000550262027729,52.332715332,"Postsecondary nondegree award",None,"Short-term on-the-job training"
15-1254,"Web Developers",2.97847747552,3.04199175544,3.15552092675,0.113529171311,0.0373206702839,0.000542954015379,52.4080977609,"Bachelor's degree",None,None
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",2.86131688217,2.90189331301,2.72546005388,-0.176433259129,-0.0607993610027,0.000521596521448,26.3557258904,"Associate's degree",None,None
19-1023,"Zoologists and Wildlife Biologists",2.68151050805,2.72786286701,2.78531195003,0.0574490830192,0.0210601066916,0.000488819173417,37.7124580757,"Bachelor's degree",None,None
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",2.62346364479,2.72301771649,2.98034971811,0.257332001614,0.094502507294,0.000478237667346,27.8465030227,"Postsecondary nondegree award",None,None
53-3033,"Light Truck Drivers",2.61554513063,2.65455351917,2.72024043522,0.065686916053,0.0247449959395,0.000476794181842,20.9407140114,"High school diploma or equivalent",None,"Short-term on-the-job training"
27-3043,"Writers and Authors",2.61461151879,2.52990423978,2.28174032829,-0.248163911489,-0.0980922153443,0.000476623991435,39.6358311566,"Bachelor's degree",None,"Long-term on-the-job training"
25-9045,"Teaching Assistants, Except Postsecondary",2.6077351153,2.69062003854,2.88240712558,0.191787087044,0.0712798850441,0.000475370474859,22.7327297416,"Some college, no degree",None,None
47-2111,Electricians,2.46485940715,2.52260660518,2.64208843639,0.119481831215,0.0473644328726,0.00044932530914,44.6732287131,"High school diploma or equivalent",None,Apprenticeship
53-3099,"Motor Vehicle Operators, All Other",2.39609506423,2.50624016648,2.7703279391,0.264087772611,0.105372093282,0.000436790087232,21.2958166358,"No formal educational credential",None,"Short-term on-the-job training"
39-5092,"Manicurists and Pedicurists",2.34135554527,2.41723650303,2.62113162796,0.203895124926,0.0843505071472,0.000426811485122,23.1965698411,"Postsecondary nondegree award",None,None
